#---- ММВБ- СПВБ: валюты (СЭЛТ) ----
USD/TOD_UTS,Котировки USD TOD в СЭЛТ ММВБ на ЕТС,16/11,28.672,28.677
USD/TOM_UTS,Котировки USD TOM в СЭЛТ ММВБ на ЕТС,16/11,28.6811,28.6849
EUR/RUB_UTS,Котировки EUR RUB в СЭЛТ ММВБ на ЕТС,16/11,37.17,37.175
USD/TOD СПВБ,Котировки USD TOD СПВБ на ЕТС,16/11,28.672,28.677
USD/TOM СПВБ,Котировки USD TOM СПВБ на ЕТС,16/11,28.6811,28.6849
EUR/TOD СПВБ,Котировки EUR TOD СПВБ на ЕТС,16/11,37.1605,37.18
#---- Российские фондовые индексы ----
РТС,Индекс РТС,16/11,665.38,0.35%
ММВБ,Индекс ММВБ,16/11,632.06,0.63%
RBC comp.,Индекс РБК Композит,16/11,74.5329,0.26%
#---- Рынок наличной валюты ----
Нал.USD,Наличная валюта в Москве- USD,09:01,28.678,28.724
Нал.EUR,Наличная валюта в Москве- EUR,09:01,37.261,37.397
Нал.USD СПб.,Наличная валюта в Санкт-Петербурге- USD,16/11,28.62,28.728
Нал.EUR СПб.,Наличная валюта в Санкт-Петербурге- EUR,16/11,37.112,37.419
#---- Котировки акций (РТС- ММВБ, МФБ) ----
EESR,EESR - РТС,16/11,0.3195,0.00%
MSNG,MSNG - РТС,16/11,0.143,2.51%
SNGS,SNGS - РТС,16/11,0.784,0.51%
LKOH,LKOH - РТС,16/11,32.6,0.62%
RTKM,RTKM - РТС,16/11,2.41,-0.41%
SBER,SBER - РТС,16/11,493,-1.20%
YUKO,YUKO - РТС,16/11,2.83,-2.08%
GMKN,GMKN - РТС,16/11,62.35,0.00%
TATN,TATN - РТС,15/11,1.69,-0.88%
GSPBEX,ГАЗПРОМ-СПБ&#44; РТС,16/11,83.3,-0.83%
EESR ММВБ,EESR - ММВБ,16/11,9.12,-0.44%
LKOH ММВБ,LKOH - ММВБ,16/11,943,0.96%
SNGS ММВБ,SNGS - ММВБ,16/11,22.6,0.44%
MSNG ММВБ,MSNG - ММВБ,16/11,4.32,5.37%
RTKM ММВБ,RTKM - ММВБ,16/11,68.86,-0.35%
YUKO ММВБ,YUKO - ММВБ,16/11,82.62,-1.64%
EESRP ММВБ,EESRP - ММВБ,16/11,8.116,-0.27%
SNGSP ММВБ,SNGSP - ММВБ,16/11,15.536,0.36%
SIBN ММВБ,SIBN - ММВБ,16/11,100.97,2.82%
URSI ММВБ,URSI - ММВБ,16/11,1.149,-1.79%
RTKMP ММВБ,RTKMP - ММВБ,16/11,47,0.28%
RU14GMKN0507,НорНикель ГМК-5 - ММВБ,16/11,1779.87,-0.73%
RU0009029540,Сбербанк - ММВБ,16/11,14025,-1.02%
RU14TATN3006,Татнефть-3 - ММВБ,16/11,48.24,-0.02%
GAZP,Газпром - МФБ,09/11,61.2,-1.29%
RBCI,RBCI - РТС,15/11,2.97,3.48%
